Crop,N,P,K,Temperature,Humidity,pH,Rainfall,State,Season,Price
maize,78,55,19,21.450826278223868,61.95238428965367,5.563609362970331,92.92291855244451,Karnataka,Rabi,169.64
coffee,91,33,26,22.772490389797863,56.60199026620311,6.482374147020043,127.38324689829969,Maharashtra,Rabi,154.72
jute,81,49,42,29.11505036874744,88.8130860079772,6.091616939782296,177.68776481472037,Karnataka,Zaid,245.74
jute,94,54,42,26.39166089633715,84.27382157295443,6.5533704593546585,196.2534716133148,Karnataka,Kharif,229.29
jute,73,58,37,27.99344710119187,88.428102565308,6.767516163173499,203.21134852653157,Uttar Pradesh,Kharif,50.01
rice,97,37,37,22.424705036347298,79.03864846424071,5.943210407761557,182.40854373332718,West Bengal,Kharif,110.18
rice,98,56,44,25.353355640155236,78.49824617324703,5.857317160695651,236.87639297166675,Uttar Pradesh,Rabi,119.43
maize,77,49,18,23.371065418185477,66.73682236041758,6.99087894836866,85.89957277378076,Maharashtra,Post-Monsoon,55.72
jute,96,40,38,27.52142068932121,83.56167457003367,6.53414508884677,248.65152487929797,Karnataka,Post-Monsoon,189.62
rice,92,55,40,22.25332797712528,80.48035229511086,6.219524502021844,282.0981021403376,Karnataka,Post-Monsoon,44.61
rice,89,58,41,28.423140352981818,75.77453216811769,5.045606203570903,263.6353754839706,Maharashtra,Zaid,299.23
jute,65,36,38,29.78629303292758,87.9826068884097,7.22560810642392,175.790282704494,Tamil Nadu,Post-Monsoon,67.85
coffee,81,34,32,24.85971690475847,66.7716511740525,6.307616340224189,197.43952532033876,West Bengal,Post-Monsoon,219.07
maize,79,35,18,20.424097324150804,57.29673649478407,6.721240084883265,77.31783319441534,Karnataka,Zaid,182.75
maize,70,38,17,18.518235368224268,61.732085563878414,5.7688293538779485,63.80249822836606,Andhra Pradesh,Kharif,297.19
cotton,112,42,16,22.87868111242657,72.0823716016303,6.005421798828659,67.00176384850087,Andhra Pradesh,Kharif,152.49
coffee,117,22,25,27.10436476009873,64.91949051097436,6.612777439403875,194.63504536799638,Maharashtra,Rabi,297.46
rice,93,46,37,20.664962673667773,86.11680973935088,6.43618278294978,281.01945321099265,Punjab,Kharif,59.14
maize,96,48,17,19.64265797930993,71.29149440462764,6.8303944413924,91.38392548614716,Andhra Pradesh,Kharif,120.47
maize,84,52,22,22.51948601299039,69.27564909710652,7.299334890584346,97.44609265091026,Maharashtra,Kharif,171.14
coffee,94,20,33,24.132174710910377,57.82964220403004,6.797786219532261,125.32952899126536,Karnataka,Kharif,84.13
coffee,118,38,30,27.638992741680852,62.55416106142836,6.50235842198563,131.14176581307098,Andhra Pradesh,Post-Monsoon,242.33
coffee,108,20,28,26.448765466834274,61.463016985147775,7.496538923885765,180.1922496031058,Punjab,Zaid,217.95
cotton,126,57,15,22.335324347357794,78.54834527306974,7.524917371481381,112.60593820570497,Karnataka,Zaid,115.78
maize,97,47,18,22.570002192816784,67.07915744145025,6.50457669492506,92.3916382267702,Tamil Nadu,Post-Monsoon,156.18
maize,63,46,16,18.122030723180444,66.96885402410454,6.631016694645948,102.97074448397713,West Bengal,Zaid,187.73
jute,79,45,44,25.397669800249805,78.41026474544981,6.635395293630724,178.7929616475726,Tamil Nadu,Kharif,192.19
rice,85,47,42,25.05888678884466,84.17181353151972,5.045275459552101,284.6548690732982,Maharashtra,Kharif,280.99
rice,95,50,38,27.900846371240867,75.34533907181456,6.628418027470615,272.54960022236855,Punjab,Rabi,124.84
coffee,88,38,32,27.042637791882537,68.21372396511427,6.1842161727686005,138.8724827676065,Tamil Nadu,Rabi,66.35
cotton,135,56,21,31.208418826173723,83.04844543093192,7.037676114252144,95.47652614469575,Andhra Pradesh,Rabi,131.72
cotton,108,55,23,24.055798083756375,81.81684833071739,7.207443063460278,66.85603800334127,Tamil Nadu,Rabi,136.06
jute,85,45,40,25.42442196056173,80.20429802844342,7.106251872164623,195.22179408898072,Uttar Pradesh,Zaid,82.89
coffee,103,26,28,24.513552697027286,68.296918021362,6.54359084867495,166.44706802224349,Uttar Pradesh,Kharif,197.03
coffee,107,37,29,25.091042094440876,69.51082631365513,6.68848348202552,164.58442951120384,Tamil Nadu,Kharif,260.98
maize,99,51,21,23.953850173200436,56.34152954776855,6.999920940798356,72.59433558573514,Tamil Nadu,Kharif,271.46
rice,91,51,42,25.874536042340743,79.41067018831457,6.785147999474571,243.31772761737432,West Bengal,Rabi,169.65
cotton,129,40,17,23.552402459307125,72.72892195742907,7.723571242027035,116.76692772801796,Tamil Nadu,Rabi,124.53
cotton,109,53,16,26.087341710980965,70.38079533490517,6.312305194732381,102.95833373084386,Karnataka,Zaid,204.5
coffee,80,22,32,23.176678598160716,60.11015758212068,6.892573469550631,147.14169967169528,Maharashtra,Zaid,179.44
rice,92,49,42,20.994413927593452,78.64758286499182,6.805667329639148,282.6835761727543,Andhra Pradesh,Post-Monsoon,252.46
cotton,103,54,19,23.410818487777135,76.09588462410284,6.6479801222136,65.21550089702096,Andhra Pradesh,Kharif,197.31
cotton,132,57,19,22.265322038738198,72.72153152634696,7.166083121939384,85.28547303554987,Uttar Pradesh,Rabi,269.95
cotton,104,54,24,30.2510733142266,75.44588818292635,6.068456221641059,109.83927039391499,Karnataka,Post-Monsoon,116.65
coffee,109,28,26,27.166408119848327,54.39021050161917,7.4618208977983045,182.38070198304246,West Bengal,Post-Monsoon,51.99
coffee,109,33,31,26.79913153568389,58.50427008938467,6.0337039624801765,141.49418875079567,Andhra Pradesh,Kharif,171.66
rice,84,41,43,21.39356074072824,87.52395355198949,7.46100545175888,243.0828218763223,West Bengal,Rabi,68.07
coffee,102,24,30,27.485792839362993,52.35502165780282,6.86477471327138,141.92441765497648,Andhra Pradesh,Zaid,175.17
coffee,104,25,34,26.321215489793776,52.13157460257349,6.210027807990674,141.09470421076932,Punjab,Rabi,94.62
jute,86,42,36,27.203618023035574,84.97555011819384,6.263056917935175,241.44119459249598,Karnataka,Kharif,137.26
cotton,127,48,16,23.662833687560795,81.07050424639556,6.1655973358502525,96.1891265679833,Tamil Nadu,Kharif,88.7
cotton,120,45,22,26.371933963572435,83.73270515937871,7.443065722243811,96.62428002047746,Karnataka,Rabi,285.81
rice,83,56,40,27.325720972102502,78.22410567886135,5.077957837653211,211.47168531597902,Tamil Nadu,Post-Monsoon,186.62
coffee,96,32,26,25.739995305429943,59.48474617400739,6.51657559806635,148.1232128907375,West Bengal,Rabi,135.58
maize,99,44,23,20.46402033239107,71.38204635348399,7.098831757937958,101.6817882512656,Uttar Pradesh,Rabi,96.2
maize,93,46,17,21.14596556809411,71.14860503633523,7.424197571528236,107.40081352751136,Maharashtra,Kharif,213.36
maize,71,50,22,25.583924139456816,67.77898770668523,7.0180716910777,103.44619975638832,West Bengal,Zaid,198.42
jute,67,59,36,26.425974745501982,78.31814162729404,7.48150201199497,244.40593396866132,Uttar Pradesh,Rabi,31.04
cotton,109,50,21,31.99353499565835,78.3370987215577,6.946420236162667,78.77129139033525,Karnataka,Kharif,53.75
jute,66,43,37,29.47077336763571,89.56587367748051,7.416399733670151,197.42142166574638,Uttar Pradesh,Kharif,261.37
jute,98,37,36,26.657042032498182,84.66819975938733,6.975251025664842,186.46972494573058,Karnataka,Rabi,176.99
jute,93,37,39,26.7118559284443,81.61548242622243,6.606728174522776,207.24277594334657,Tamil Nadu,Zaid,245.11
maize,63,56,23,25.378557669065252,65.40336219757464,6.353634113309729,112.59992267174697,Karnataka,Kharif,136.9
maize,94,44,16,18.21269410850387,72.49403345368398,6.557874268054424,116.34406191077377,Maharashtra,Zaid,243.66
cotton,138,48,18,22.526838359772285,71.32815115920427,6.075193546412522,88.78687961139029,Uttar Pradesh,Kharif,182.61
cotton,109,59,21,27.22519191634523,80.98407710776968,6.0066927240859584,88.03864599225915,Tamil Nadu,Post-Monsoon,103.16
coffee,83,37,29,22.25255913781817,50.35747869466827,7.4815835846040475,154.221850698869,Tamil Nadu,Kharif,127.61
rice,83,38,44,27.979893221433834,78.88473977402721,6.471385572433114,297.8796618096098,Tamil Nadu,Rabi,267.58
coffee,103,30,26,23.00220367655245,69.82337252273953,6.347507552075165,195.41854193081005,Tamil Nadu,Kharif,201.9
rice,69,45,36,23.840906114912496,75.5509790613992,7.393175657458314,279.1446834952759,Punjab,Post-Monsoon,244.22
cotton,122,51,23,31.27752283195213,84.92361733969653,6.347790498438974,83.77452113415953,West Bengal,Zaid,232.31
jute,76,58,37,28.710831874934325,78.36660857754991,6.335726422233934,203.69744228934135,Punjab,Kharif,186.02
jute,73,39,36,26.202024684415953,80.8675464912057,6.409439062284473,197.66768283303685,Punjab,Rabi,32.43
cotton,133,46,24,30.09516074724878,79.82862970958533,7.101714741218279,65.21920559468461,Andhra Pradesh,Post-Monsoon,134.37
rice,74,40,42,26.957142928497504,75.73175372509759,6.331506298501905,295.45463671104596,Punjab,Rabi,50.65
cotton,127,39,15,22.61517026239235,83.24359403706192,7.032158040887233,114.3908231666748,Maharashtra,Kharif,179.97
cotton,139,36,22,27.65731963995791,74.00542405254131,7.757259972710316,107.8455612964157,Punjab,Zaid,204.37
rice,92,50,43,23.34008878745238,78.58035046951527,7.325225876274347,192.70009125943008,West Bengal,Zaid,215.72
coffee,86,24,34,24.792820052619902,67.58142960456263,6.007717756132072,185.59575339264802,Tamil Nadu,Post-Monsoon,84.02
cotton,138,52,18,27.56181735039757,81.34953705677403,6.517376661395816,71.58797187523759,Maharashtra,Zaid,43.55
coffee,106,36,33,25.79088116210001,55.196071621283195,6.951008554649417,163.19883037726845,Karnataka,Rabi,238.36
jute,65,53,41,26.78886605073277,89.44488005788492,6.512808249058029,213.2621893133948,West Bengal,Post-Monsoon,280.97
maize,88,56,18,19.737534753075668,70.4170821708198,7.394595776512676,69.98265521593635,Punjab,Zaid,235.88
jute,76,44,40,25.421181398670697,84.31373276651216,6.06861305071877,237.15368061523765,Punjab,Kharif,292.58
cotton,128,46,18,28.475736434019076,78.91593788842818,6.767224520811244,63.937568674440776,Tamil Nadu,Rabi,250.02
jute,74,53,44,23.007206358919433,77.38407424915135,6.702809125152877,244.43036349578298,Uttar Pradesh,Zaid,48.61
jute,98,49,41,28.781445360599278,79.47561646484989,7.259920747008708,227.28227800168045,Maharashtra,Post-Monsoon,84.42
maize,70,37,15,27.63236653440132,55.626046274950326,6.962540133947371,114.57147065686911,Punjab,Post-Monsoon,260.06
maize,79,40,17,20.7421520234867,74.67955295919657,6.318668012630086,113.64595222074806,West Bengal,Kharif,84.39
cotton,134,51,23,29.14924040202248,78.44125429515074,6.943064920205026,92.59396834739749,Punjab,Zaid,64.59
rice,84,51,39,21.536580381611127,81.80540451907925,6.3258859843206405,182.14342709739833,Uttar Pradesh,Rabi,243.1
cotton,123,37,18,29.96537290976176,77.22283527268826,6.234616377924789,67.51114753215303,Karnataka,Rabi,211.96
maize,95,43,20,20.255401424437355,58.2165093815638,6.80303893360453,79.55552783712449,Andhra Pradesh,Kharif,185.27
maize,67,45,15,18.116205399081007,56.44893775589118,6.284987112813369,88.79633008302741,Maharashtra,Kharif,188.01
jute,91,45,43,29.020856780324433,86.69776483340024,6.0594282380225355,198.0506947257829,Maharashtra,Rabi,49.38
jute,76,46,43,26.99633151290915,75.2755145541081,6.723534572327387,171.03495799188687,Maharashtra,Post-Monsoon,116.88
maize,99,52,15,23.177116433847115,56.757329982896664,6.201253862418362,61.99218652748199,Karnataka,Kharif,42.0
rice,81,41,36,29.774663863147858,78.01288634793441,6.732984852056703,278.572887361184,Uttar Pradesh,Post-Monsoon,31.53
maize,99,45,17,26.962213026850385,66.89553274753872,6.733209163724948,96.77665049193635,Karnataka,Post-Monsoon,103.67
rice,71,42,42,27.140869321324278,87.02592124604688,5.848625481357015,277.7790136495815,Punjab,Rabi,42.43
rice,79,50,38,25.9747586263193,86.75748830128293,6.202259578622462,184.89049273109674,Maharashtra,Rabi,65.92
jute,73,45,36,23.422464587933945,78.7065485101522,6.239317020169782,237.17835665922019,West Bengal,Zaid,81.38
jute,95,47,42,29.102829452811847,81.50483000934584,6.065492486561042,166.16725441468026,Punjab,Post-Monsoon,25.84
coffee,98,24,32,27.8487589728807,63.006513726938735,6.299313676393718,174.4182593945033,Maharashtra,Rabi,40.22
jute,74,35,41,26.238360697175214,88.02408758112571,7.090753604649462,224.2706521199981,Maharashtra,Zaid,139.14
maize,63,46,18,23.048448818930176,65.86601046726577,6.52799173561745,95.28350268540476,Uttar Pradesh,Zaid,28.23
coffee,113,23,26,25.586341391535186,65.85912189211263,6.982514008248163,199.37066530725377,Maharashtra,Rabi,99.48
cotton,111,37,16,28.315602200925206,80.99669533622921,6.26313537025452,102.94949788092532,Maharashtra,Kharif,274.53
cotton,122,44,16,23.809769527094897,82.81577640054368,6.98455571289607,74.83386446419063,Karnataka,Zaid,263.81
cotton,113,58,21,25.592333693997656,78.89426277152391,6.327047745170045,83.46489219910563,Tamil Nadu,Kharif,291.44
maize,61,37,19,18.090304041295504,66.76825266681212,6.697427960200216,83.79958658061372,Karnataka,Rabi,86.37
jute,90,45,44,23.51447723131009,77.54636857631311,6.779660922834027,183.70031764312864,West Bengal,Rabi,252.09
maize,60,39,18,23.87884371110387,73.97166709702867,6.0050555641508385,81.55504487497473,Andhra Pradesh,Post-Monsoon,126.22
jute,96,49,39,26.73458347709787,86.72685494767543,7.058078391168305,194.63686465125855,Tamil Nadu,Post-Monsoon,261.98
jute,65,46,38,24.888247280618927,75.85630284133973,6.796754292001548,243.66056922949616,Andhra Pradesh,Rabi,31.02
jute,94,40,39,29.537125122695336,79.74234157465126,6.760852213032589,154.1572859050392,Maharashtra,Kharif,61.54
coffee,103,30,26,23.938783942421672,69.46195496140693,6.8701683445432025,140.33796639179945,Maharashtra,Post-Monsoon,166.08
rice,82,46,40,21.39651254756313,75.44960384809016,5.769824853977977,264.5616915283976,Tamil Nadu,Zaid,76.52
jute,67,52,39,23.657305010525928,85.08903177337689,6.665625328956857,236.81422543775054,Uttar Pradesh,Post-Monsoon,69.6
coffee,113,20,31,27.871787724403184,57.485935342795855,6.026273986293093,139.53178323378995,West Bengal,Rabi,252.65
jute,99,51,42,28.56857260187482,88.78016695490257,6.900914313819354,244.08753563380648,Karnataka,Zaid,251.51
jute,64,43,44,25.440015670693793,77.38931167864207,6.907430884035811,181.81115536181196,Maharashtra,Kharif,262.6
jute,84,50,43,23.633371867009355,79.33028393295957,6.163664447648625,215.0511647791716,Tamil Nadu,Post-Monsoon,234.25
maize,63,40,17,26.078459419412585,70.24570269553232,7.095627297717269,86.13499888877598,Uttar Pradesh,Post-Monsoon,248.99
maize,83,56,21,18.057586604981214,61.491716598005404,6.232923069742796,83.77036149655532,Punjab,Kharif,214.73
jute,88,59,35,24.66280891612029,80.5987768744401,6.340904440894727,157.31959237684435,Punjab,Kharif,188.97
rice,73,44,36,24.634940438005724,80.69678670268844,7.1583341239295635,242.28981421634617,West Bengal,Post-Monsoon,154.17
maize,88,59,19,21.988227808969004,66.60344738454664,6.567205093453757,96.47430556760668,Uttar Pradesh,Post-Monsoon,234.17
maize,65,48,16,25.154909070992744,65.42468264970668,7.144786837634117,85.851725492282,Andhra Pradesh,Zaid,271.08
jute,74,59,38,29.489241813574147,75.90401085434341,7.401654040208271,185.16226872396345,Tamil Nadu,Rabi,48.4
jute,63,50,39,24.994110313733458,79.6093494738943,7.204538846748996,203.91612766752544,Tamil Nadu,Zaid,107.17
jute,95,52,36,24.908368005134736,81.20323652288027,6.182829140005421,168.11493495346804,Tamil Nadu,Post-Monsoon,210.71
cotton,109,41,21,24.9527828922031,81.90110887221756,6.370456893094819,115.06514935028264,Uttar Pradesh,Kharif,138.87
jute,66,56,35,25.614567781268715,82.89748791230672,6.168456516616828,150.25840148449825,Andhra Pradesh,Kharif,198.64
cotton,120,56,23,29.93743850380516,79.6990887013429,6.349546885654754,81.646351146636,Karnataka,Kharif,273.65
rice,83,50,35,22.36870558974482,86.70788272865792,5.68701508887034,278.7137182216414,Uttar Pradesh,Kharif,138.65
maize,69,59,16,25.66656135200406,57.99407935913916,6.347889625826604,69.17902804971376,Karnataka,Kharif,85.87
coffee,113,20,31,25.212148611055966,53.56891930455544,6.468407679073194,138.4196934742296,Karnataka,Rabi,77.73
maize,70,44,23,21.909059959055146,66.88952670372346,6.493533717718339,119.26713121289325,Maharashtra,Kharif,58.2
coffee,100,37,27,24.656301800677163,58.91581829154458,7.086775277097927,121.26568734124659,Karnataka,Post-Monsoon,115.51
cotton,118,38,24,25.372271327554202,83.5828718849451,7.545245454898765,75.893726834204,Uttar Pradesh,Zaid,200.68
maize,95,37,23,21.233715621155206,59.53312804453976,6.209992611663875,64.1654305647656,Punjab,Kharif,165.34
maize,61,39,19,20.71147436500185,66.85623983306846,6.860263862206903,73.84975134924072,Tamil Nadu,Kharif,147.92
coffee,101,25,26,27.964836167327007,63.236783796987574,6.836675126055037,178.45204081913968,Andhra Pradesh,Zaid,150.26
coffee,87,31,34,27.74575170703228,53.50605884715319,7.035007336230999,136.0746950927245,West Bengal,Post-Monsoon,170.03
jute,89,59,41,28.29314330226672,80.21357286358473,6.997367586730827,229.54499607897293,West Bengal,Rabi,279.61
rice,82,53,42,20.200263559258246,86.05770337510864,6.9214995119712714,209.238805927664,Punjab,Rabi,208.04
rice,79,40,40,20.891244321160165,86.32905630745212,5.319283709088087,279.1281156303034,West Bengal,Zaid,238.97
coffee,113,33,28,23.818770135671972,55.26225139821686,6.540204611207279,127.01141974110709,Uttar Pradesh,Kharif,282.35
coffee,88,20,27,24.3818891024457,58.94405081009671,6.900891500040926,161.25435421571981,Uttar Pradesh,Kharif,277.43
cotton,114,56,19,25.910427630581744,77.51729498773014,6.794357554858422,92.38395712559657,Punjab,Post-Monsoon,195.83
cotton,129,58,24,30.680566901074503,82.08888100176432,7.580060872614123,78.28074834588244,Andhra Pradesh,Zaid,42.66
rice,80,37,36,21.537911496680312,78.35421651744467,7.393307219736468,248.76497147170193,Uttar Pradesh,Post-Monsoon,281.16
jute,61,59,40,25.19609383835867,84.09556416650064,6.208797036926295,239.8261627292706,Andhra Pradesh,Post-Monsoon,252.21
